lat	long	country	state	location
-7.8424353	-35.7539722	Brazil	PE	SURUBIM
-20.8375312	-40.7271589	Brazil	ES	PIUMA
-23.5282246	-46.902003	Brazil	SP	JANDIRA
-23.5697765	-46.0407456	Brazil	SP	BIRITIBA-MIRIM
-15.8630837	-38.8792845	Brazil	BA	BELMONTE
-12.1376415	-40.3590055	Brazil	BA	MACAJUBA
-23.4133724	-46.0379249	Brazil	SP	GUARAREMA
-23.4491841	-47.4755809	Brazil	SP	CASABRANCA
-5.1023325	-42.8449518	Brazil	MA	TIMON
-34.5920662	-58.38350016	Brazil	PE	BUENOSAIRES
-23.1030302	-47.7147937	Brazil	SP	TIETE
-3.8922967	-38.6835427	Brazil	CE	MARANGUAPE
-20.286111	-49.202778	Brazil	MG	FRONTEIRA
-26.3044898	-48.8486726	Brazil	SC	JOINVILLE
-20.6435211	-51.5084479	Brazil	SP	ITAPURA
-21.5314282	-42.6403534	Brazil	MG	LEOPOLDINA
-26.9117879	-48.6669852	Brazil	SC	ITAJAI
-23.4520189	-46.3467826	Brazil	SP	ITAQUA
-23.848568	-46.139586	Brazil	SP	BERTIOGA
-10.6243298	-48.2759896	Brazil	SC	SAOJOSE
-24.1851885	-53.0250623	Brazil	PR	GOIOERE
-22.436111	-46.821667	Brazil	SP	ITAPIRA
-24.0959454	-46.6234361	Brazil	SP	MONGAGUA
-23.9927768	-46.2558332	Brazil	SP	GUARUJA
-23.3186111	-46.5866667	Brazil	SP	MAIRIPORA
-22.8879628	-48.4410712	Brazil	SP	BOTUCATU
-23.099204	-45.707645	Brazil	SP	CACAPAVA
-23.3864203	-45.6626797	Brazil	SP	PARAIBUNA
-23.0143559	-47.5306721	Brazil	SP	RAFARD
-21.7886713	-48.1773096	Brazil	SP	ARARAQUARA
-22.2666414	-42.499075	Brazil	RJ	BOACU
-22.4099596	-44.2621818	Brazil	RJ	RJ
-29.9440222	-50.9930938	Brazil	RS	GRAVATAI
-7.8354423	-34.9061125	Brazil	PE	IGARASSU
-22.8923164	-43.5851991	Brazil	RJ	CALIFORNIA
-22.8733203	-42.3428897	Brazil	RJ	ARARUAMA
-22.7156978	-43.555754	Brazil	RJ	QUEIMADOS
-12.6998188	-38.3260762	Brazil	BA	CAMACARI
-27.6447774	-48.6646323	Brazil	SC	PALHOCA
-21.496092	-48.0360685	Brazil	SP	GUATAPARA
-21.6741873	-49.7518932	Brazil	SP	LINS
-24.1848847	-46.7921572	Brazil	SP	ITANHAEM
-16.2548322	-49.3675277	Brazil	GO	DAMOLANDIA
-22.97056	-46.99583	Brazil	SP	VALINHOS
-7.9986401	-34.8459552	Brazil	PE	OLINDA
-21.566243	-51.2633114	Brazil	SP	PACAEMBU
-21.7143301	-41.2966992	Brazil	RJ	CHILE
-22.66384	-44.852157	Brazil	SP	SILVEIRAS
-23.5168463	-46.3356252	Brazil	SP	CAIERAS
-23.4699189	-46.290101	Brazil	SP	MONTEMOR
-23.16233565	-45.79541016195431	Brazil	SP	SJC
-23.0298535	-46.9749847	Brazil	SP	VINHEDO
-22.4768324	-47.4550551	Brazil	SP	CORDEIROPOLIS
-24.3218105	-46.9977452	Brazil	SP	PERUIBE
-22.8446614	-47.675489	Brazil	SP	SALTINHO
-15.6194133	-56.060574627468036	Brazil	MT	CBA
-22.7353777	-42.7202272	Brazil	RJ	TANGUA
-23.2196461	-44.7154196	Brazil	RJ	PARATI
-23.5401247	-47.1846323	Brazil	SP	MAIRINQUE
-7.487004	-36.130887	Brazil	PB	BOQUEIRAO
-20.1597921	-44.8739341	Brazil	MG	DIVINOPOLIS
-20.3200917	-40.3376682	Brazil	ES	VITORIA
-21.2066883	-47.6053774	Brazil	SP	SERRANA
-29.9216045	-51.1799525	Brazil	RS	CANOAS
-22.1869969	-41.6633764	Brazil	RJ	CARAPEBUS
-22.4367964	-47.5558826	Brazil	SP	PF
-7.54122565	-35.449102477927944	Brazil	PE	MACAPARANA
-22.8778351	-43.1234858	Brazil	RJ	PORTUGAL
-23.3112878	-51.1595023	Brazil	PR	LONDRINA
-25.309460299999998	-49.18507242898573	Brazil	PR	COLOMBO
