code	name	total	0-9	9-19	19-29	29-39	39-49	49-59	59-69	69-79	80+
150495	Nova Esperança do Piriá	21444	4562	4330	4192	3136	2400	1472	754	469	129
150497	Nova Ipixuna	16854	3039	3060	2946	2642	2097	1418	973	514	165
150500	Nova Timboteua	15506	2214	2479	2468	2572	2169	1592	1092	619	301
150503	Novo Progresso	25766	4757	5804	4994	3212	2744	2414	1294	451	96
150506	Novo Repartimento	77214	15228	14643	14569	12380	9026	5742	3400	1690	536
150510	Óbidos	52306	10423	9767	8652	7524	6283	4356	2945	1622	734
150520	Oeiras do Pará	32850	8040	7116	5927	4552	3190	1884	1168	688	285
150530	Oriximiná	74016	15134	14816	13417	10705	8130	5460	3663	1877	814
150540	Ourém	17961	3059	3075	3242	2783	2242	1666	1019	592	283
150543	Ourilândia do Norte	33335	5902	6925	7085	6113	3795	1948	945	456	166
150548	Pacajá	48414	9185	8937	9008	7915	5791	3859	2259	1083	377
150549	Palestina do Pará	7582	1349	1342	1286	1120	954	680	478	261	112
150550	Paragominas	114503	20703	23425	22179	19051	13480	8173	4752	2050	690
150553	Parauapebas	213576	37279	44546	45123	40119	24182	12918	6260	2341	808
150555	Pau D'Arco	5410	862	908	960	816	713	549	351	178	73
150560	Peixe-Boi	8081	1190	1294	1335	1308	1047	835	574	320	178
150563	Piçarra	12979	2282	2278	2343	1921	1733	1191	723	384	124
150565	Placas	31659	6203	6265	6048	5293	3775	2218	1189	518	150
150570	Ponta de Pedras	31549	5915	6227	5737	5003	3584	2544	1504	683	352
150580	Portel	62945	16914	14361	11520	8143	5557	3033	1972	1017	428
150590	Porto de Moz	41801	10574	9857	8025	5600	3634	2119	1129	613	250
150600	Prainha	29846	6217	5804	5689	4075	3392	2318	1405	659	287
150610	Primavera	10857	1590	1713	1928	1676	1365	1130	728	485	242
150611	Quatipuru	13702	2216	2355	2492	2233	1739	1249	774	426	218
150613	Redenção	85563	12942	15415	15870	13728	11250	8086	4946	2357	969
150616	Rio Maria	18201	2581	2998	3142	3052	2518	1915	1182	591	222
150618	Rondon do Pará	52803	7923	9474	9426	8945	7082	5108	2921	1396	528
150619	Rurópolis	51500	9463	9509	10028	8959	6009	3897	2293	1005	337
150620	Salinópolis	40922	6444	7026	7625	6791	5361	3710	2338	1151	476
150630	Salvaterra	24075	4053	4225	4546	3722	3154	2099	1254	701	321
150635	Santa Bárbara do Pará	21449	3451	3744	3947	3391	2909	2083	1124	564	236
150640	Santa Cruz do Arari	10314	1636	1777	2040	1811	1379	889	454	230	98
150650	Santa Izabel do Pará	71837	9997	12680	13646	13082	9897	6362	3560	1819	794
150655	Santa Luzia do Pará	19843	3441	3573	3652	3131	2318	1612	1170	631	315
150658	Santa Maria das Barreiras	21850	3554	3629	3707	3217	2929	2362	1542	701	209
150660	Santa Maria do Pará	24995	3544	4189	4304	4111	3461	2519	1624	819	424
150670	Santana do Araguaia	74419	12323	14795	15619	13003	9201	5021	2859	1249	349
150680	Santarém	306480	51798	57641	54006	49264	37618	25959	17369	8755	4070
150690	Santarém Novo	6753	1242	1123	1322	1054	787	556	347	224	98
150700	Santo Antônio do Tauá	31918	5436	5535	5848	5046	4281	2723	1765	921	363
150710	São Caetano de Odivelas	18129	2951	3005	3225	2867	2322	1667	1199	599	294
150715	São Domingos do Araguaia	25753	4586	4558	4432	3841	3152	2206	1530	987	461
150720	São Domingos do Capim	32139	7241	6538	5805	4468	3365	2135	1352	886	349
150730	São Félix do Xingu	132138	20157	22453	27943	27617	19110	9384	3791	1353	330
150740	São Francisco do Pará	15930	2354	2616	2666	2452	2167	1629	1148	606	292
150745	São Geraldo do Araguaia	24705	4155	4262	4445	3945	3037	2245	1470	795	351
150746	São João da Ponta	6217	1166	1050	1070	980	744	561	352	191	103
150747	São João de Pirabas	23244	4010	3981	4277	3668	2749	1956	1368	831	404
150750	São João do Araguaia	14051	2561	2531	2452	1983	1686	1315	861	477	185
150760	São Miguel do Guamá	59632	10642	11528	10777	9447	7079	4760	2945	1707	747
150770	São Sebastião da Boa Vista	26974	5610	5563	4959	4202	2792	1810	1130	601	307
150775	Sapucaia	6009	879	1036	1118	988	783	648	350	159	48
150780	Senador José Porfírio	11480	2323	2154	2097	1531	1428	1091	577	218	61
150790	Soure	25565	4215	4434	4730	4026	3118	2360	1537	772	373
150795	Tailândia	108969	20159	23812	23793	18459	11694	6103	3053	1443	453
150796	Terra Alta	11847	1972	1967	2211	1840	1461	1131	665	416	184
